"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD27",0.0598811497342094,-0.309313691364451,0.728,0.716,1
"AC009522.1",0.0599003094433387,0.290229177330724,0.162,0.135,1
"EXOSC7",0.0599056910845182,-0.13526208754351,0.228,0.271,1
"RHBDD2",0.0599233394502435,0.183562977549327,0.54,0.538,1
"DTD1",0.0599445344685661,-0.169652678565624,0.368,0.414,1
"MFSD5",0.0599695107766537,-0.226228705206928,0.186,0.221,1
"FBF1",0.0600521865030131,-0.391401814371505,0.059,0.081,1
"ZNF254",0.0600993971820952,0.217448882162947,0.197,0.167,1
"MAGT1",0.0601658443954767,-0.147497978870198,0.361,0.405,1
"DRG1",0.0602997579065817,-0.208795407189479,0.309,0.348,1
"TRAV10",0.060321396608246,-0.735711159614872,0.02,0.034,1
"NAA20",0.0603331373641532,-0.105934268275831,0.357,0.409,1
"NEK7",0.0603545066754505,-0.236889728736175,0.36,0.396,1
"ASAP1",0.0603632655509663,0.140101120942795,0.515,0.478,1
"RPS6KA2",0.0603706343730926,0.482535485619342,0.121,0.098,1
"LINC02391",0.0604230252755416,-0.766421217955083,0.027,0.042,1
"RRAGA",0.0604352845555577,0.175746591905847,0.346,0.313,1
"C12orf73",0.0604754958603094,-0.354067054698016,0.066,0.089,1
"RGPD2",0.0606373347801502,0.447350169938207,0.086,0.066,1
"SPART",0.0606496424492335,0.261089677972024,0.193,0.165,1
"ST6GALNAC2",0.0606664594369471,-1.04935566261814,0.01,0.021,1
"SGPP1",0.0606936687249211,0.00670305579336827,0.336,0.287,1
"SOX4",0.0607185706880938,-0.671264838106317,0.072,0.095,1
"RBSN",0.0608214034880935,0.195062277781737,0.261,0.228,1
"UCHL3",0.0608839096218484,-0.152503659983557,0.244,0.286,1
"SYNGAP1",0.0609198651848512,0.348280163856224,0.165,0.139,1
"ZNF32",0.0609438728410522,-0.221188998674833,0.307,0.34,1
"RCBTB1",0.0609742498982142,0.285089401032214,0.164,0.136,1
"C1orf141",0.0610003029330593,-1.19635934312699,0.007,0.017,1
"TOR1B",0.0610194018315188,-0.222869323164101,0.123,0.153,1
"UPP1",0.0610580063655105,-0.276436212113795,0.389,0.412,1
"TMEM35B",0.061063006558644,-0.186609095482983,0.3,0.334,1
"BBC3",0.0610762042335918,-0.238086391759778,0.292,0.328,1
"LGALS8",0.061149745986388,-0.155700328289847,0.303,0.349,1
"NOL6",0.0611741197712342,-0.246559038772305,0.071,0.094,1
"LNX2",0.0611841649900761,-0.317358326805255,0.094,0.121,1
"SRP14",0.0612149966348267,-0.0521163963696747,0.987,0.99,1
"ABRAXAS1",0.0612251717728392,0.213075751298897,0.245,0.212,1
"RECQL4",0.0612397552914014,-0.755958619999672,0.013,0.024,1
"RBL2",0.0612949336631595,-0.156095005258165,0.767,0.762,1
"DLD",0.0612950482103096,-0.195989750568774,0.323,0.363,1
"CD164",0.0613996390553306,-0.184205953574235,0.709,0.725,1
"SIKE1",0.0614065741662239,-0.15643090824435,0.228,0.269,1
"TANC2",0.0614119490640623,-0.496574003273135,0.086,0.11,1
"ABHD5",0.061420771373778,-0.185031725656323,0.166,0.2,1
"AC006042.2",0.0614672486204422,-0.932815645233625,0.007,0.017,1
"DMAC2",0.0614708280667192,-0.278309326382566,0.168,0.2,1
"TIPRL",0.0614837400875438,-0.151861441783586,0.401,0.449,1
"SRSF4",0.0614987943964617,-0.123352064741084,0.766,0.793,1
"NEFH",0.0615676924829513,-1.05044922041654,0.007,0.017,1
"MLKL",0.0616655712609657,-0.273819440266546,0.102,0.129,1
"TNFRSF11A",0.0616706125823399,-0.716791515304866,0.014,0.026,1
"MPPE1",0.0617002698012361,-0.2115602497759,0.315,0.355,1
"ATG5",0.0617076468686286,-0.157246730256107,0.489,0.527,1
"MAP7D2",0.061747524033486,0.517790583210754,0.025,0.015,1
"NUP42",0.0617569125786263,-0.237297764348831,0.265,0.303,1
"NCBP2AS2",0.0617683545953425,-0.118658360809523,0.546,0.592,1
"DNAJC25",0.061845001191861,-0.365409163256174,0.103,0.131,1
"SIAH1",0.0619755599242754,0.222287468723647,0.262,0.23,1
