"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ATE1.2",0.0097659018059299,-0.357339859745351,0.246,0.311,1,"5","ATE1"
"MAGED1.2",0.00977076680739933,-0.373577743888839,0.249,0.316,1,"5","MAGED1"
"STK16.1",0.00977879327064069,-0.382411427310447,0.209,0.271,1,"5","STK16"
"GTF2IRD2B",0.00978396856436218,-0.552864821135771,0.132,0.19,1,"5","GTF2IRD2B"
"DDR1.1",0.00978426888887896,-1.88806998706912,0.003,0.026,1,"5","DDR1"
"CRB1",0.00984121709201098,1.15963983920484,0.025,0.009,1,"5","CRB1"
"TRAPPC12.1",0.00984500595059431,-0.339888306809814,0.28,0.347,1,"5","TRAPPC12"
"EEF1AKMT4.1",0.00984634743449864,-1.35570777231362,0.009,0.037,1,"5","EEF1AKMT4"
"GPD1L.1",0.00986186534503383,0.777386513553709,0.108,0.068,1,"5","GPD1L"
"CCDC18",0.00986262419353266,-0.380014035831846,0.178,0.242,1,"5","CCDC18"
"OLMALINC.1",0.00989870447828046,0.902287799025287,0.043,0.02,1,"5","OLMALINC"
"MCM7",0.00991080350142424,-0.587321700966183,0.2,0.262,1,"5","MCM7"
"IGFBP7.3",0.00992394954446676,-1.87942546668318,0.003,0.026,1,"5","IGFBP7"
"YIPF3.2",0.00994016590168489,-0.336618185587005,0.372,0.434,1,"5","YIPF3"
"TMEM43.2",0.00996957194042041,0.254817731678493,0.428,0.341,1,"5","TMEM43"
"BRWD3",0.00998075508673432,-0.572045995124824,0.191,0.249,1,"5","BRWD3"
"SMDT1.3",0.00999687975592909,-0.147615664974287,0.923,0.936,1,"5","SMDT1"
"CPNE5.6",1.15457490415148e-100,2.59567054586315,0.894,0.273,4.22585960668484e-96,"6","CPNE5"
"GSN.4",8.60957374805304e-97,3.00233233329946,0.709,0.154,3.15119008752489e-92,"6","GSN"
"CHAD.3",8.92781213305734e-96,4.20522702629691,0.422,0.044,3.26766851882032e-91,"6","CHAD"
"COCH.3",9.66309031564067e-92,3.16147290746913,0.558,0.088,3.53678768642764e-87,"6","COCH"
"BLK.6",1.11184215802867e-89,2.21884932731669,0.98,0.507,4.06945348260075e-85,"6","BLK"
"HLA-DRA.6",4.83771646002273e-89,1.64657231329136,1,0.675,1.77065260153292e-84,"6","HLA-DRA"
"IFI30.5",1.32099986468291e-87,1.90136084148807,0.905,0.328,4.83499160472591e-83,"6","IFI30"
"CD86.4",2.16889780549542e-86,2.87730852743442,0.638,0.131,7.93838285789379e-82,"6","CD86"
"AK8.3",2.90832670258918e-86,3.87772352433037,0.362,0.034,1.06447665641467e-81,"6","AK8"
"DNAH8.3",3.58033787097156e-86,4.0210962622439,0.317,0.024,1.3104394641543e-81,"6","DNAH8"
"CD79A.6",6.81050882477805e-82,1.66416304521824,1,0.593,2.49271433495702e-77,"6","CD79A"
"CD74.6",1.10180298305443e-81,1.36886388870793,1,0.996,4.03270909827754e-77,"6","CD74"
"HRK.4",1.74146102860534e-81,3.57975002722264,0.407,0.049,6.37392151079839e-77,"6","HRK"
"GRAMD1C.4",2.66713235433545e-81,2.96872822560675,0.568,0.105,9.76197113010319e-77,"6","GRAMD1C"
"ITM2B.5",7.38786393599932e-81,-2.02679035055632,0.734,0.98,2.70403207921511e-76,"6","ITM2B"
"HLA-DMB.6",2.87312600402815e-80,2.0141220615019,0.96,0.47,1.05159284873434e-75,"6","HLA-DMB"
"POU2AF1.6",1.80653598416107e-79,2.05642149846991,0.93,0.401,6.61210235562794e-75,"6","POU2AF1"
"PDLIM1.5",4.41851260287204e-79,2.04897257204773,0.93,0.473,1.6172197977772e-74,"6","PDLIM1"
"CD3E.5",1.20465079799105e-78,-4.49664328696807,0.095,0.828,4.40914238572705e-74,"6","CD3E"
"HLA-DQA1.6",1.76621767625656e-77,1.61284108294716,1,0.62,6.46453331686664e-73,"6","HLA-DQA1"
"IL32.5",2.65833036898955e-77,-5.0684773320686,0.09,0.818,9.72975498353866e-73,"6","IL32"
"CAPG.4",3.21616910674515e-75,2.02343089707321,0.95,0.526,1.17715005475979e-70,"6","CAPG"
"CD80.4",2.01461521968009e-74,2.71511741436694,0.613,0.136,7.37369316555109e-70,"6","CD80"
"FYB1.5",3.59097623314601e-74,-5.15748952448988,0.065,0.794,1.31433321109377e-69,"6","FYB1"
"HLA-DPB1.5",1.6070031439214e-73,1.51242189141848,1,0.823,5.88179220706673e-69,"6","HLA-DPB1"
"AC012236.1.3",1.81947839432432e-73,2.80401842964008,0.447,0.066,6.65947287106644e-69,"6","AC012236.1"
"SPIB.6",2.69811211525636e-73,1.99923373188877,0.905,0.386,9.8753601530498e-69,"6","SPIB"
"PNOC.6",1.10034749521896e-72,2.33122000304952,0.749,0.231,4.02738186725092e-68,"6","PNOC"
"ANXA4.4",1.93619416436237e-72,2.51279383841219,0.794,0.302,7.08666426098271e-68,"6","ANXA4"
"ZYG11A.3",7.3895270163294e-72,4.43967708663988,0.241,0.016,2.70464078324672e-67,"6","ZYG11A"
"TAGLN2.3",1.05677283874454e-71,1.18134187466112,1,0.994,3.86789426708889e-67,"6","TAGLN2"
"HLA-DPA1.6",1.07530707575038e-71,1.46418181909622,1,0.833,3.93573142795398e-67,"6","HLA-DPA1"
"ACP5.4",2.1917822127414e-71,2.02973161030073,0.905,0.43,8.02214207685481e-67,"6","ACP5"
"ANXA1.5",2.46436071650585e-71,-4.60774880202671,0.09,0.79,9.01980665848306e-67,"6","ANXA1"
"IFITM1.5",4.07150958939135e-71,-2.91765883743808,0.462,0.906,1.49021322481313e-66,"6","IFITM1"
"HLA-DMA.6",9.12441918434673e-70,1.67320447001917,0.995,0.64,3.33962866566275e-65,"6","HLA-DMA"
"MEF2C.6",1.05241887991729e-69,1.96536394511884,0.945,0.457,3.85195834238528e-65,"6","MEF2C"
"CD3D.5",1.47401045075637e-69,-4.82548350016663,0.075,0.773,5.3950256508134e-65,"6","CD3D"
"CD79B.6",3.43604724070762e-69,1.83527036814064,0.97,0.56,1.2576276505714e-64,"6","CD79B"
"HLA-DRB1.6",1.82820812657275e-67,1.33238068487138,1,0.754,6.69142456406893e-63,"6","HLA-DRB1"
"UBE2J1.4",6.171867151421e-67,1.61938620388128,0.965,0.7,2.2589650960916e-62,"6","UBE2J1"
"ZFP36L2.4",8.231702814923e-67,-1.90982950365335,0.925,0.988,3.01288554728997e-62,"6","ZFP36L2"
"JUNB.5",1.49357581332473e-66,-1.73582053644275,0.98,0.992,5.46663683434984e-62,"6","JUNB"
"MS4A1.6",1.4683268492956e-65,1.42227836391035,1,0.57,5.37422310110682e-61,"6","MS4A1"
"CD52.3",1.60668560857364e-65,0.873783891742804,1,0.998,5.88062999594039e-61,"6","CD52"
"FYN.6",4.98293208400897e-65,-2.80877570773497,0.286,0.856,1.82380297206812e-60,"6","FYN"
"BAIAP3.5",5.8326400327546e-65,2.59617605882772,0.643,0.183,2.13480457838851e-60,"6","BAIAP3"
"RPS3.5",2.72536839541304e-64,-0.623958332801279,1,0.999,9.97512086405127e-60,"6","RPS3"
