"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RAP2C-AS1",0.00518228234624119,0.518067846492458,0.166,0.115,1,"2","RAP2C-AS1"
"TPP1",0.00518631658183644,0.285675933315212,0.451,0.389,1,"2","TPP1"
"HERC4",0.00519677277008367,0.355694520970728,0.451,0.384,1,"2","HERC4"
"CLSTN3.2",0.00520380163488635,0.469017029184442,0.2,0.143,1,"2","CLSTN3"
"HNRNPA3",0.00521012795260694,0.120457442213198,0.944,0.926,1,"2","HNRNPA3"
"SLC25A33.1",0.00521230906637233,0.282805088954164,0.42,0.344,1,"2","SLC25A33"
"FBXO2.1",0.0052174307053711,0.627145583319153,0.101,0.062,1,"2","FBXO2"
"MANBA.2",0.00522692148618369,0.174771807831255,0.572,0.488,1,"2","MANBA"
"MMADHC.1",0.00526224635416418,-0.325037884535222,0.544,0.597,1,"2","MMADHC"
"PHF21A",0.00527287502161763,0.286118763940515,0.448,0.374,1,"2","PHF21A"
"DMWD.1",0.00531044684946982,0.496175657686308,0.245,0.184,1,"2","DMWD"
"IGHV3-20.1",0.00532539936340469,-2.401352468133,0.037,0.016,1,"2","IGHV3-20"
"PLEKHF2.1",0.00533282860439308,0.352154582613994,0.439,0.376,1,"2","PLEKHF2"
"DISC1FP1",0.00533424441247617,0.678693915051496,0.087,0.051,1,"2","DISC1FP1"
"U2AF2",0.00533680610751782,0.272874760069411,0.659,0.62,1,"2","U2AF2"
"TAF9B.1",0.00534581206645983,-0.789388547630531,0.087,0.139,1,"2","TAF9B"
"INO80D",0.00535038529239372,0.221165500104447,0.634,0.561,1,"2","INO80D"
"ANKRD18A.1",0.00535407453270878,-2.46496028330767,0.003,0.027,1,"2","ANKRD18A"
"TP53I3.1",0.0053676976904201,-1.53194926605644,0.017,0.05,1,"2","TP53I3"
"DOCK4",0.00537851081609208,-2.87199879801331,0.003,0.027,1,"2","DOCK4"
"BCR.2",0.0053859215501159,0.389473137034918,0.406,0.339,1,"2","BCR"
"AL451069.2.1",0.00538712918478416,1.50050262197203,0.028,0.011,1,"2","AL451069.2"
"ZBTB25.1",0.00539914437229441,-0.323007420293476,0.349,0.429,1,"2","ZBTB25"
"RNF207",0.00540304768685565,-2.2270071774752,0.003,0.027,1,"2","RNF207"
"SCD5.2",0.00541683500714006,1.17228702511513,0.039,0.017,1,"2","SCD5"
"SMPD4",0.00542340026894212,0.327189957215306,0.437,0.37,1,"2","SMPD4"
"PDPK1",0.00546517257947053,0.37579003475702,0.372,0.313,1,"2","PDPK1"
"TRIM72",0.0054711262635295,2.34316898788467,0.014,0.003,1,"2","TRIM72"
"AL158825.2",0.00548977073777364,2.42382737517067,0.014,0.003,1,"2","AL158825.2"
"SNX8.2",0.00550270390901605,0.377206806531025,0.31,0.241,1,"2","SNX8"
"PSPH",0.0055101070544419,-0.869205697974204,0.062,0.109,1,"2","PSPH"
"POLD4.2",0.0055134615666564,0.125703574281951,0.879,0.812,1,"2","POLD4"
"HNRNPL",0.0055231887238705,0.127829154218299,0.949,0.947,1,"2","HNRNPL"
"DUSP8.1",0.00553327923826709,0.206215188943935,0.589,0.49,1,"2","DUSP8"
"C2orf88",0.00553419969257356,-1.48022922256143,0.017,0.05,1,"2","C2orf88"
"AC008728.1",0.0055554788677052,2.24356811521186,0.014,0.003,1,"2","AC008728.1"
"GLI4.1",0.00558274531020925,0.530128916467257,0.206,0.15,1,"2","GLI4"
"KHDRBS2-OT.1",0.00558542259094531,1.90523283244545,0.02,0.006,1,"2","KHDRBS2-OT"
"C8orf58",0.0055966331253927,0.749572761558208,0.096,0.058,1,"2","C8orf58"
"CWF19L2",0.00559939951180682,0.286936400142836,0.434,0.369,1,"2","CWF19L2"
"STRBP.2",0.00560644621283165,0.211578729868701,0.566,0.467,1,"2","STRBP"
"DNPH1.1",0.00560951508662864,-0.302879652067219,0.411,0.487,1,"2","DNPH1"
"CTIF",0.00562427103035298,0.81994636938764,0.09,0.054,1,"2","CTIF"
"AC009041.2.1",0.00563651618631124,-0.931255825991547,0.023,0.057,1,"2","AC009041.2"
"TMEM38B.1",0.00564111431033297,0.388831659564659,0.304,0.239,1,"2","TMEM38B"
"AP004608.1",0.00564115243730553,2.77307879712584,0.011,0.002,1,"2","AP004608.1"
"PMM1.1",0.00564149493240694,-0.395338264049594,0.2,0.27,1,"2","PMM1"
"STYK1",0.00565407741825297,2.1231128516027,0.023,0.008,1,"2","STYK1"
"AC005695.2",0.00565958962756748,1.15996024241612,0.042,0.019,1,"2","AC005695.2"
"DEGS2.1",0.00566760246028765,1.2842138477555,0.028,0.011,1,"2","DEGS2"
"LINC00589",0.00568657303655832,2.6206855735234,0.011,0.002,1,"2","LINC00589"
"SMIM4.1",0.00568929081733925,0.422949375438589,0.223,0.162,1,"2","SMIM4"
"LIMK1.2",0.00569611076890204,0.336962451663947,0.301,0.234,1,"2","LIMK1"
"AC113615.2",0.00570940680599361,2.6395937917624,0.011,0.002,1,"2","AC113615.2"
"FBXO32.2",0.00571358051163009,0.368013110678184,0.332,0.27,1,"2","FBXO32"
"MYSM1",0.00571934763738889,0.330413018447664,0.363,0.295,1,"2","MYSM1"
"AC024451.4",0.00572085467148323,2.58832916037558,0.011,0.002,1,"2","AC024451.4"
"AC008883.3",0.0057323232340994,2.49844536990353,0.011,0.002,1,"2","AC008883.3"
"TEX41",0.00575532258079321,2.21195345166868,0.011,0.002,1,"2","TEX41"
"OSTC.2",0.00578080777147226,-0.428670915480017,0.507,0.569,1,"2","OSTC"
"ZNF630",0.00578166295272596,1.67738859855718,0.039,0.018,1,"2","ZNF630"
"SEC23B.2",0.00578843180207725,0.352001819954951,0.372,0.302,1,"2","SEC23B"
"PDE4A.2",0.0057887186512938,0.327631367416229,0.259,0.197,1,"2","PDE4A"
"TRAV8-1.1",0.00579984445304153,-4.06353516399401,0.003,0.026,1,"2","TRAV8-1"
"AC084117.1",0.00580157107289858,2.32224589930723,0.011,0.002,1,"2","AC084117.1"
"LINC02086",0.00580487718183346,1.49598796016075,0.025,0.009,1,"2","LINC02086"
"RNF169.1",0.00581805606638524,0.402105646984373,0.397,0.339,1,"2","RNF169"
"PCSK7",0.00583214994770791,0.237035709993658,0.648,0.587,1,"2","PCSK7"
"SESTD1.1",0.00583502875240839,0.101162037677845,0.29,0.216,1,"2","SESTD1"
"RAB3GAP1.2",0.00587891861427919,-0.303140850523687,0.487,0.557,1,"2","RAB3GAP1"
"SYNRG.2",0.0059128730378275,0.233544414527121,0.583,0.531,1,"2","SYNRG"
"NME1.1",0.00592610426601524,-0.39695292990109,0.237,0.306,1,"2","NME1"
"AC091180.5",0.00593753312040823,1.14672986824781,0.042,0.019,1,"2","AC091180.5"
"GGNBP2.1",0.00595003264133267,0.193784991600267,0.792,0.773,1,"2","GGNBP2"
"ADGRE1.1",0.00595254129260049,-1.48380326130751,0.011,0.041,1,"2","ADGRE1"
"AC027097.2.2",0.00595443523931413,0.61232776316191,0.197,0.144,1,"2","AC027097.2"
"FAF2",0.0059844383135286,0.287231309480434,0.366,0.297,1,"2","FAF2"
"ZWINT",0.00600674442913743,-2.22189913551758,0.006,0.031,1,"2","ZWINT"
"AL392046.1",0.00602493776718211,0.941296221013745,0.085,0.05,1,"2","AL392046.1"
"TGFBR1.1",0.00603046663738889,0.51477255627467,0.279,0.222,1,"2","TGFBR1"
"ATF5.1",0.00603404110800684,-0.381149983621958,0.146,0.216,1,"2","ATF5"
"NBPF9",0.00603668524037195,-0.77363537240806,0.073,0.122,1,"2","NBPF9"
"ZNF75A",0.00604416068775725,0.44564887372716,0.276,0.215,1,"2","ZNF75A"
"DKK3",0.00604912458052863,1.32392134395444,0.037,0.016,1,"2","DKK3"
"AP002852.1.1",0.00609043861747531,-1.99813120330175,0.006,0.031,1,"2","AP002852.1"
"SASH1.1",0.00611675882146698,-2.68586319061007,0,0.021,1,"2","SASH1"
"CPD.1",0.00616082012764878,0.484743629056184,0.296,0.239,1,"2","CPD"
"TPPP.1",0.00617224871311843,-1.2275637155343,0.025,0.061,1,"2","TPPP"
"LINC00205",0.00617867089420494,-1.51081448914179,0.014,0.045,1,"2","LINC00205"
"STT3A.2",0.00618413016147514,-0.548786810757767,0.194,0.258,1,"2","STT3A"
"MLLT6.1",0.00621884230528313,0.212274778945254,0.58,0.502,1,"2","MLLT6"
"ZNF598",0.00623316932960289,0.437602271937289,0.321,0.26,1,"2","ZNF598"
"ARHGDIB.2",0.00623539866270848,-0.154624889111385,1,0.998,1,"2","ARHGDIB"
"NCF4.2",0.00624317994928888,0.125259310663225,0.552,0.457,1,"2","NCF4"
"TM2D3.1",0.0062511449515178,0.28023246976643,0.465,0.401,1,"2","TM2D3"
"ZNF136",0.00626167274267744,0.478218872602188,0.27,0.214,1,"2","ZNF136"
"SLC15A2.1",0.006297664670319,1.10504741778212,0.065,0.036,1,"2","SLC15A2"
"NSF.1",0.00630102962787093,0.32851533359657,0.341,0.271,1,"2","NSF"
"ZBTB4",0.0063099403289062,0.500246769262797,0.318,0.255,1,"2","ZBTB4"
"LY6E.1",0.00631508634638864,0.112994405105907,0.944,0.938,1,"2","LY6E"
"ZBTB32.1",0.00632386920213633,0.17254226750583,0.22,0.157,1,"2","ZBTB32"
"CD38.2",0.0063335330127072,-1.85834183323807,0.062,0.107,1,"2","CD38"
"ERGIC1.1",0.00636262754838524,0.245680291436573,0.583,0.515,1,"2","ERGIC1"
"CTC1",0.00639512475091487,0.342213701397169,0.386,0.322,1,"2","CTC1"
"GPAT3.1",0.00639844954395688,-1.06718209464319,0.025,0.061,1,"2","GPAT3"
"SLC9A7.2",0.00640557385442795,0.30967534301066,0.256,0.19,1,"2","SLC9A7"
"USP51",0.00641813984888083,1.14298763820925,0.051,0.025,1,"2","USP51"
"MXI1.2",0.00642476008165669,-0.380398522869938,0.349,0.426,1,"2","MXI1"
"PTPRCAP.1",0.0064385351319008,0.314650494543588,0.476,0.412,1,"2","PTPRCAP"
"LINC00824.1",0.00653487795800113,-1.67841376236146,0.003,0.026,1,"2","LINC00824"
"TKT.2",0.00655093330803139,-0.383004319699672,0.71,0.758,1,"2","TKT"
"CHTF18",0.00655638254652169,0.831615941695032,0.104,0.065,1,"2","CHTF18"
"CSF3R.1",0.00660836737414131,-3.36144566121428,0,0.02,1,"2","CSF3R"
"SOD2",0.00663999018533726,-0.36626972115678,0.617,0.662,1,"2","SOD2"
"WIPF1.2",0.0066560709133604,0.129930761945421,0.924,0.892,1,"2","WIPF1"
"RELB.2",0.00668245783745357,0.147562158911993,0.862,0.816,1,"2","RELB"
"TMEM117",0.00668899022047259,0.494908555618674,0.276,0.217,1,"2","TMEM117"
"PCSK1N.1",0.00670567224672244,-1.03885183732832,0.065,0.11,1,"2","PCSK1N"
"TRIM13",0.00671783833590484,0.508930768756966,0.254,0.201,1,"2","TRIM13"
"DDX23",0.00672344740978779,0.389597657393097,0.318,0.255,1,"2","DDX23"
"KIF13A.2",0.00674621038914295,0.566974089188601,0.118,0.076,1,"2","KIF13A"
"SLC25A4",0.00675862447025827,0.542460621754009,0.194,0.143,1,"2","SLC25A4"
"KIAA1143",0.00677823726561148,0.341516949975727,0.442,0.364,1,"2","KIAA1143"
"ITGA5.1",0.00678387387031953,0.396179060689207,0.211,0.156,1,"2","ITGA5"
"SORBS3.1",0.00678674808295298,-0.415438260815052,0.262,0.333,1,"2","SORBS3"
"PPFIBP2.2",0.00689211377263855,0.256413669211818,0.299,0.228,1,"2","PPFIBP2"
"AKT1.2",0.00690561168527477,0.241312409678583,0.544,0.474,1,"2","AKT1"
"AC090152.1.2",0.00691336404943005,0.718944836700363,0.104,0.066,1,"2","AC090152.1"
"CBFA2T3.2",0.00692887444930392,0.383988079771914,0.265,0.202,1,"2","CBFA2T3"
"NOS3",0.00693091263122118,-1.26560131239212,0.023,0.056,1,"2","NOS3"
"ZNF791.1",0.00694544295073752,0.30350908963463,0.459,0.383,1,"2","ZNF791"
"ZNF518A",0.00695253763532404,0.376517258925376,0.259,0.199,1,"2","ZNF518A"
"LNPEP",0.00695683738951503,0.255168948384531,0.58,0.515,1,"2","LNPEP"
"DHX35.1",0.00696066629242773,0.697247668760022,0.177,0.132,1,"2","DHX35"
"SNRPB.1",0.00698067073623891,0.135823949082246,0.89,0.867,1,"2","SNRPB"
"LPCAT3.1",0.00698270585785001,0.458573114917777,0.27,0.21,1,"2","LPCAT3"
"EPN1.1",0.00700019648828435,0.204464275810056,0.611,0.537,1,"2","EPN1"
"FAM241A.1",0.00701793064051486,-0.426821669000297,0.155,0.216,1,"2","FAM241A"
"SHISA8",0.00701907855974693,1.20221218569094,0.054,0.028,1,"2","SHISA8"
"GALM.1",0.00702976567875893,-0.477202374944067,0.214,0.279,1,"2","GALM"
"ZMYM2.1",0.00704872127320279,0.239132897633495,0.662,0.594,1,"2","ZMYM2"
"HCP5.1",0.00707221210675481,0.345952558700308,0.318,0.251,1,"2","HCP5"
"ARID1B.1",0.0070767250845786,0.132792496890966,0.834,0.781,1,"2","ARID1B"
"MMP24OS.1",0.00712426954910352,0.202303167033971,0.707,0.659,1,"2","MMP24OS"
"CSTA.2",0.00714001965841609,-4.10070218381458,0,0.02,1,"2","CSTA"
"ZNF75D.1",0.00715946933162961,0.559168321299865,0.175,0.124,1,"2","ZNF75D"
"AFAP1.1",0.00716326832212242,-0.982361205409039,0.045,0.086,1,"2","AFAP1"
"SCML1.1",0.00716336774535241,-0.845205986074145,0.065,0.111,1,"2","SCML1"
"LINC00909",0.00718952922876852,0.42063951533432,0.203,0.148,1,"2","LINC00909"
"PICALM.1",0.00719061782262912,0.224581646123532,0.625,0.577,1,"2","PICALM"
"BCL10.1",0.00719401640903743,0.301716630031568,0.499,0.432,1,"2","BCL10"
"ARHGEF18.1",0.00722113805550331,0.297061509756308,0.482,0.408,1,"2","ARHGEF18"
"SUSD3.1",0.00722647973559808,-0.378313587639216,0.313,0.39,1,"2","SUSD3"
"SGPP2",0.00728530461541786,-1.05173341427008,0.037,0.075,1,"2","SGPP2"
"DYSF.2",0.00729396659887848,0.926758105857703,0.045,0.022,1,"2","DYSF"
"SLC8B1.1",0.00729957981878625,-0.7142186357209,0.087,0.135,1,"2","SLC8B1"
"KIF3A.1",0.00731611568108233,0.271074041611761,0.262,0.193,1,"2","KIF3A"
"COG8",0.00731739751309099,0.446088074329862,0.208,0.153,1,"2","COG8"
"AL590550.1",0.00733712289192592,0.991261817345578,0.062,0.033,1,"2","AL590550.1"
"GREM2.1",0.00735741593502743,-1.85201586606848,0.017,0.047,1,"2","GREM2"
"AC005363.2",0.0073718844482848,2.00234709115242,0.017,0.005,1,"2","AC005363.2"
"PIAS1.2",0.00738158614906495,0.184913259875547,0.792,0.746,1,"2","PIAS1"
"HECW2-AS1.1",0.00738185161064854,-1.76371604975971,0.008,0.035,1,"2","HECW2-AS1"
"TASOR2.1",0.00742376108460102,0.263806633831529,0.518,0.443,1,"2","TASOR2"
"IGHV3-33.2",0.00742892580642297,-1.59926314870295,0.07,0.039,1,"2","IGHV3-33"
"TRBC1.1",0.00745306591380116,-0.446461650746588,0.4,0.469,1,"2","TRBC1"
"ATN1",0.00745504592409227,0.489495088830573,0.217,0.159,1,"2","ATN1"
"MOB4.1",0.00748385912545072,0.22715588284846,0.594,0.535,1,"2","MOB4"
"ARHGAP6",0.00748633137618003,0.975173672304424,0.056,0.029,1,"2","ARHGAP6"
"DMPK",0.0075015932290176,0.913538216162157,0.09,0.056,1,"2","DMPK"
"GLTP.1",0.00750247575540571,0.327974300305876,0.496,0.445,1,"2","GLTP"
"SMARCD2",0.0075413007959694,-0.254063066862124,0.285,0.363,1,"2","SMARCD2"
"IQCE.1",0.0075491622178495,0.797780831397655,0.079,0.046,1,"2","IQCE"
"ADGRE5.1",0.00755076029708165,0.113228528853087,0.907,0.871,1,"2","ADGRE5"
"FUCA2.1",0.00756997001634746,-0.586279381107146,0.085,0.137,1,"2","FUCA2"
"TMEM63A.1",0.00761696367926803,-0.357709409087947,0.285,0.359,1,"2","TMEM63A"
"SLC9B1",0.00761888772894202,0.794535438000578,0.085,0.05,1,"2","SLC9B1"
"PTPN23",0.00763089154474702,0.465158388827429,0.206,0.152,1,"2","PTPN23"
"LYPLA1.2",0.0076430291840621,0.164348449373538,0.572,0.485,1,"2","LYPLA1"
"C7orf26",0.00764775654346967,0.306386199191295,0.338,0.271,1,"2","C7orf26"
"DDX51",0.007679746576442,0.459383442597036,0.259,0.201,1,"2","DDX51"
"STUB1.1",0.00769906446304062,0.158173014077015,0.814,0.767,1,"2","STUB1"
"CENPF",0.00771114159763852,-1.8033160581583,0.014,0.043,1,"2","CENPF"
"NT5C.1",0.00784934839349979,0.152070239265616,0.642,0.581,1,"2","NT5C"
"SDHAF2.1",0.00785604669743764,0.22392536367804,0.544,0.484,1,"2","SDHAF2"
"SLFN12L.1",0.00786138509990214,0.264229782211759,0.327,0.266,1,"2","SLFN12L"
"RCN2",0.00787225835040061,0.289107904173439,0.592,0.543,1,"2","RCN2"
"AL513303.1.1",0.00788739309568388,0.735396351242759,0.107,0.069,1,"2","AL513303.1"
"ZDHHC21.1",0.00788772744088067,0.324800022585636,0.301,0.238,1,"2","ZDHHC21"
"TICAM1",0.00790909581854943,0.331579108821883,0.363,0.307,1,"2","TICAM1"
"RIN1",0.00792884137254727,-2.12512508650631,0.003,0.025,1,"2","RIN1"
"CEP120",0.00795328454932956,0.271378474423828,0.434,0.358,1,"2","CEP120"
"FNIP1.1",0.0079741937757834,0.205135319993732,0.535,0.469,1,"2","FNIP1"
"EVI2A.1",0.00799931949708328,-0.409429779086504,0.2,0.265,1,"2","EVI2A"
"FAM160A1",0.00800746700133509,-0.596445074069755,0.006,0.03,1,"2","FAM160A1"
"PUM2",0.00805429271935946,0.201025083202844,0.701,0.65,1,"2","PUM2"
"DDX20",0.00806127262092829,0.477357644028896,0.231,0.18,1,"2","DDX20"
"SEPTIN4",0.00810397116911118,1.69355798877116,0.023,0.008,1,"2","SEPTIN4"
"CLIP4.2",0.00810952611741756,0.367449213405221,0.259,0.2,1,"2","CLIP4"
"OAF.1",0.00812269944472274,-1.91165014550321,0.003,0.025,1,"2","OAF"
"PSMD12",0.00813407230036818,-0.316441416270739,0.287,0.361,1,"2","PSMD12"
"SNTG2.1",0.00815315054413805,-1.70911294185698,0.006,0.03,1,"2","SNTG2"
"UBA6.1",0.00816897580788762,0.310919789865391,0.493,0.439,1,"2","UBA6"
"AC245297.3.1",0.00818268126684508,0.246236285192099,0.482,0.404,1,"2","AC245297.3"
"CSNK1G2.1",0.00820039885318244,0.121774385897618,0.769,0.72,1,"2","CSNK1G2"
"ADAM23.1",0.0082345874552145,-1.54436056069971,0.023,0.055,1,"2","ADAM23"
"AC020659.1.1",0.00824450627976894,0.545858440165039,0.138,0.093,1,"2","AC020659.1"
"GLRX.2",0.00824509663806353,-0.390095809913113,0.33,0.397,1,"2","GLRX"
"ELK1",0.00825258896267629,-0.486878034363192,0.183,0.243,1,"2","ELK1"
"CTSL.1",0.00827154063223079,-2.0244992780971,0.006,0.03,1,"2","CTSL"
"EIF4B.1",0.00828939379747438,-0.159213596493047,0.952,0.96,1,"2","EIF4B"
"RAB11FIP5.1",0.00830308598619241,0.680826857140084,0.141,0.096,1,"2","RAB11FIP5"
"ABLIM1.1",0.00830671854684444,-0.380655687770323,0.62,0.67,1,"2","ABLIM1"
"MYB.2",0.00833708578611006,-2.93828240089403,0,0.019,1,"2","MYB"
"CLMN.2",0.00834902525455613,0.403135888613772,0.177,0.126,1,"2","CLMN"
"GPR15.1",0.0083550827334423,-1.5922257137184,0.011,0.039,1,"2","GPR15"
"AKAP5.1",0.0083555905574302,1.2697624362462,0.031,0.013,1,"2","AKAP5"
"AJM1.1",0.00836614882021686,0.842605145484133,0.073,0.042,1,"2","AJM1"
"SLC25A32",0.00837154683275392,0.299360143567299,0.479,0.415,1,"2","SLC25A32"
"OPA3.2",0.00839938749839276,0.592862226702486,0.234,0.183,1,"2","OPA3"
"FAM122C.1",0.0084018401883691,-0.529477916852565,0.138,0.197,1,"2","FAM122C"
"ITPKC",0.00841722721839324,0.799088466140399,0.113,0.074,1,"2","ITPKC"
"THOC1.1",0.00842236034348539,0.260193952026283,0.49,0.431,1,"2","THOC1"
"PHC3",0.0084387066423295,0.225695766460761,0.645,0.6,1,"2","PHC3"
"USP34.1",0.00843881825809022,0.158499280229854,0.82,0.76,1,"2","USP34"
"B4GALT5.1",0.00844307562361264,0.550245859167092,0.192,0.141,1,"2","B4GALT5"
"ERCC6L2",0.00845101346716155,-0.534810266331168,0.211,0.27,1,"2","ERCC6L2"
"TNFRSF1A.2",0.00845918966013332,0.632467805666905,0.158,0.113,1,"2","TNFRSF1A"
"AL645939.5",0.00847855949801248,1.31638454154034,0.031,0.013,1,"2","AL645939.5"
"AL078459.1.2",0.00848403437722013,0.596675378774151,0.096,0.059,1,"2","AL078459.1"
"GSDMB",0.00849477623635962,0.665267414671326,0.11,0.07,1,"2","GSDMB"
"PTK2.2",0.0085015183527231,0.199847621674061,0.273,0.208,1,"2","PTK2"
"EML6.1",0.00850687163089967,0.373057782562184,0.169,0.119,1,"2","EML6"
"CLEC7A.2",0.00851308445323968,-3.88953848101881,0.003,0.025,1,"2","CLEC7A"
"ISG20.1",0.0085237686024897,-0.262009504482897,0.868,0.889,1,"2","ISG20"
"PMEPA1.2",0.0085465048756907,0.347588721037334,0.33,0.261,1,"2","PMEPA1"
"ZBTB1",0.00855288613973556,0.210086610798404,0.69,0.642,1,"2","ZBTB1"
"TCF7L2.2",0.00860824680889493,0.300562256283429,0.115,0.074,1,"2","TCF7L2"
"PHACTR4",0.00864937687918295,0.260050250173013,0.383,0.31,1,"2","PHACTR4"
"TCF12",0.0086542642536663,0.16468750969784,0.637,0.584,1,"2","TCF12"
"FAM118B",0.00867853563701264,0.970333854887734,0.09,0.056,1,"2","FAM118B"
"PLAGL1.1",0.0086799069367816,0.528985124662216,0.152,0.106,1,"2","PLAGL1"
"C19orf53.1",0.00872811514190009,-0.142396483979762,0.842,0.87,1,"2","C19orf53"
"UBR1",0.00873849313251135,0.250682752945256,0.465,0.399,1,"2","UBR1"
"CD200R1",0.00874487696804385,-1.05326945463635,0.039,0.078,1,"2","CD200R1"
"IFI30.1",0.00875705276106667,-0.70194360023573,0.465,0.353,1,"2","IFI30"
"IPO8",0.00879527474136941,0.423982967711891,0.231,0.175,1,"2","IPO8"
"GYG1.2",0.00880431217584945,0.251811161592924,0.406,0.341,1,"2","GYG1"
"MACF1.2",0.00881711662922528,0.137484879106901,0.758,0.718,1,"2","MACF1"
"BIRC6.1",0.00882742009552855,0.206566938859455,0.792,0.754,1,"2","BIRC6"
"TESK1.1",0.00883715394082628,0.356516531527989,0.301,0.24,1,"2","TESK1"
"GFPT2",0.00885886650017021,2.09145234051262,0.028,0.011,1,"2","GFPT2"
"TMED8.1",0.00886509044058276,0.31796169260422,0.262,0.204,1,"2","TMED8"
"PLEKHA3",0.00890233939210388,0.345449006933943,0.414,0.352,1,"2","PLEKHA3"
"NENF",0.00890521161034699,0.139939114319398,0.617,0.562,1,"2","NENF"
"IGHV4-31.2",0.00891558509786308,-1.03911886367904,0.062,0.034,1,"2","IGHV4-31"
"ATP6V0C.2",0.00893143789271352,0.135778333306012,0.975,0.963,1,"2","ATP6V0C"
"ISG20L2",0.00895073186410887,0.237603668521594,0.434,0.36,1,"2","ISG20L2"
"FKBP1A.1",0.00895212715855263,-0.326973494747062,0.631,0.666,1,"2","FKBP1A"
"PGAP3",0.00900640257894239,0.371855829004422,0.211,0.156,1,"2","PGAP3"
"ZBP1.2",0.00901104269560441,0.282137354488915,0.485,0.423,1,"2","ZBP1"
"FBF1",0.00902459339128582,0.707082679357332,0.11,0.071,1,"2","FBF1"
"FAM193B",0.009050317585294,0.395332397549067,0.293,0.235,1,"2","FAM193B"
"GUK1.2",0.00905859871038589,0.120230157043181,0.955,0.95,1,"2","GUK1"
"AC132153.1",0.00907403477269195,1.22712112947364,0.034,0.015,1,"2","AC132153.1"
"SCAF11.1",0.00907416137858416,0.143056556331012,0.828,0.81,1,"2","SCAF11"
"ZNF451.1",0.00917458186238348,0.223729170530481,0.487,0.44,1,"2","ZNF451"
"TMEM173.1",0.00918677681614614,-0.447875361040238,0.335,0.384,1,"2","TMEM173"
"NXPH4.2",0.00920083590823913,0.413005407377028,0.161,0.111,1,"2","NXPH4"
"TRIP4.1",0.00921771674225549,0.519543085185513,0.203,0.153,1,"2","TRIP4"
"BX293535.1",0.0092659616611092,-2.02473060151606,0.003,0.024,1,"2","BX293535.1"
"WASHC2C",0.00927487633923966,0.376581227481861,0.372,0.319,1,"2","WASHC2C"
"DOLPP1.1",0.00928603268727641,-1.03093723741471,0.023,0.055,1,"2","DOLPP1"
"USP6NL.2",0.00933614985912181,0.205989473833319,0.355,0.282,1,"2","USP6NL"
"RPF1.1",0.00936695699343937,0.309272898602128,0.423,0.363,1,"2","RPF1"
"FAM149B1",0.00940567338812919,0.572598009803048,0.115,0.076,1,"2","FAM149B1"
"ZC3H7A.1",0.00943070568446929,-0.230686523036509,0.442,0.524,1,"2","ZC3H7A"
"SPOPL.1",0.00945160326856126,0.224820021236679,0.363,0.293,1,"2","SPOPL"
"MILR1.1",0.00949877887834844,0.556116424715355,0.093,0.057,1,"2","MILR1"
"PHLDB3.1",0.00953104322610767,-0.502886848289231,0.158,0.217,1,"2","PHLDB3"
"TRAV9-2.1",0.00957872375841268,-1.77360181569435,0.034,0.069,1,"2","TRAV9-2"
"CDK2AP1.2",0.00958199724038301,-0.60430061610172,0.155,0.212,1,"2","CDK2AP1"
"ELK3.1",0.00965067146183441,-0.384997881204757,0.228,0.295,1,"2","ELK3"
"TMBIM4",0.00970899252877348,0.137209914652543,0.746,0.7,1,"2","TMBIM4"
"MRPL43.2",0.00972861960746821,0.197955990893162,0.594,0.543,1,"2","MRPL43"
"AKR1C3.1",0.00972987142177978,1.16036001282384,0.042,0.02,1,"2","AKR1C3"
"SLC8A1.2",0.00973825779649123,-3.69757527831894,0,0.019,1,"2","SLC8A1"
"PROSER2.1",0.00973825779649123,-2.29683405150837,0,0.019,1,"2","PROSER2"
"IGHV3-7.1",0.00975152939128251,-1.72890061382091,0.087,0.053,1,"2","IGHV3-7"
"CFAP53",0.00975860675694706,2.1220948543834,0.014,0.004,1,"2","CFAP53"
"CDC5L",0.00981946539780528,0.25446855977746,0.493,0.428,1,"2","CDC5L"
"PYCR1.1",0.00984160054383362,-1.34351684777239,0.006,0.029,1,"2","PYCR1"
"PRR13.2",0.00989504130705263,0.151855110575507,0.966,0.935,1,"2","PRR13"
"CD320.2",0.00989542168415281,0.386763878618708,0.4,0.35,1,"2","CD320"
"GDF9",0.00991080374149977,1.95857339010347,0.014,0.004,1,"2","GDF9"
"PODN",0.00992613914305226,1.72425447456065,0.014,0.004,1,"2","PODN"
"HLA-DRB1.3",7.44496788751043e-122,-4.84250630614621,0.244,0.84,2.72493269650769e-117,"3","HLA-DRB1"
"HLA-DRA.3",2.71729653217229e-120,-7.23324267976251,0.082,0.778,9.9455770374038e-116,"3","HLA-DRA"
"CD74.3",3.81596626850615e-120,-4.01481608911009,0.986,0.998,1.39668181393593e-115,"3","CD74"
"HLA-DPA1.3",2.85107115751851e-116,-4.20804978116167,0.504,0.89,1.04352055436335e-111,"3","HLA-DPA1"
"IL7R.3",7.95165909302353e-114,1.54740926031297,1,0.657,2.91038674463754e-109,"3","IL7R"
"HLA-DPB1.2",6.8568230719529e-112,-3.87032109025323,0.47,0.884,2.50966581256548e-107,"3","HLA-DPB1"
"RPS4Y1.1",1.28953845746609e-109,1.94044254898064,0.836,0.272,4.71983970817162e-105,"3","RPS4Y1"
